Gene	Bcells	CAFs	CD4_Tcells	CD8_Tcells	Endothelial	Macrophages	NKcells	Bcells.var	CAFs.var	CD4_Tcells.var	CD8_Tcells.var	Endothelial.var	Macrophages.var	NKcells.var
FMO4	10.939	0.64625	9.1187	3.6935	1.441	3.4155	2.473	70.69	1.2032	104.76	39.084	4.7792	15.381	9.8636
FMO5	19.333	0	0.046485	1.1563	0	1.0896	0.057741	90.105	0	0.5971	17.788	0	9.1313	0.32149
FMO6P	0.00064511	0	0.013031	0.014505	0	0	0	0.0050796	0	0.16738	0.35113	0	0	0
FMO9P	0	0	0.067092	0.025592	0	0	0	0	0	0.86181	0.45633	0	0	0
FMOD	0	267.21	0.58749	0.21854	0	0.0054877	0	0	193.84	7.5464	4.042	0	0.049693	0
FMR1	4.0897	2.36	3.41	18.569	0	5.0077	48.596	16.943	5.6129	21.295	73.347	0	19.113	131.46
FMR1-AS1	0	0.63124	0	0.59785	0	0.0058535	0	0	1.7854	0	8.1895	0	0.053006	0
FMR1NB	0	0	0.13593	0	0	0	0	0	0	1.7461	0	0	0	0
FN1	0.015643	1624.8	5.6775	1.7221	389.69	148.67	0.1942	0.12317	1606.7	37.36	10.076	680.31	475.24	0.8191
FN3K	0	0	0	0.67613	0	0.12256	0.37875	0	0	0	11.095	0	1.1098	2.1088
FN3KRP	14.65	24.401	36.224	42.725	54.342	13.798	65.191	63.63	45.209	140.88	166.54	122.67	53.908	252.75
FNBP1	41.494	6.6099	65.543	52.395	12.114	15.575	71.079	70.623	9.1625	122.87	96.741	25.617	26.317	170.73
FNBP1L	17.541	13.979	0.1	1.2294	38.94	1.0054	1.481	79.919	36.177	0.92607	14.195	92.325	5.253	8.2457
FNBP4	132.88	44.411	96.382	88.377	60.795	36.134	126.23	143.75	59.567	155.95	155.48	86.442	64.484	259.21
FNDC1	0.14096	36.326	0.60825	0.065731	0	0.012317	0	0.78226	49.155	4.0946	0.59177	0	0.11153	0
FNDC3A	18.666	18.305	29.896	23.389	31.015	19.118	15.386	44.839	21.497	89.701	67.697	36.408	36.846	70.095
FNDC3B	4.9027	77.817	4.6482	5.8535	43.564	33.196	6.0374	25.471	67.64	29.634	38.3	53.641	55.937	20.158
FNDC4	0	5.0761	1.5141	0.06239	9.168	0	0	0	12.946	18.102	1.0237	30.407	0	0
FNDC5	0	0	0.88669	1.75	0	0	0	0	0	10.686	18.719	0	0	0
FNDC7	0	0	0.67485	0.17401	0	0	0	0	0	7.1392	2.2727	0	0	0
FNDC8	0.6377	0	1.8209	0.43823	0	0	0	5.0212	0	16.554	8.618	0	0	0
FNDC9	0	0	5.1608	1.3511	0	1.1886	8.5577	0	0	39.096	12.427	0	10.694	30.618
FNIP1	13.304	23.045	10.473	14.448	4.2155	13.621	35.39	42.638	30.542	33.148	49.763	12.126	22.595	117.51
FNIP2	1.8233	6.8076	2.9174	1.3667	2.1064	15.151	0.39906	12.513	15.384	23.966	14.617	5.0331	40.834	2.2219
FNTA	48.322	34.944	24.359	69.264	0	33.508	28.124	239	73.293	108.46	263.67	0	94.607	138.47
FNTB	3.4563	4.4649	14.947	8.5245	4.5038	3.1741	3.5269	18.298	12.629	117.07	58.279	14.937	13.998	19.637
FOCAD	2.922	4.2137	13.172	12.792	2.3109	3.6075	2.8642	12.504	9.4684	50.136	53.905	2.8871	15.536	8.5419
FOLH1	0	8.6197	1.285	0.10849	13.909	0	0	0	24.38	16.505	2.2985	46.132	0	0
FOLH1B	0	0	0.045576	0.16742	0	0.43901	0	0	0	0.58543	3.505	0	3.9754	0
FOLR1	0.19095	0	0.095576	0.097871	0	0.63327	0	1.5035	0	1.2277	1.6881	0	5.7345	0
FOLR2	1.5066	8.9071	0.083823	1.1141	0	990.69	0	11.863	25.193	0.91613	25.816	0	2193.8	0
FOLR3	0	0	0.28837	0.15533	0	0.040123	0	0	0	3.7042	2.769	0	0.26737	0
FOLR4	0	0	0.3588	0.021467	0	0	0	0	0	4.4126	0.51965	0	0	0
FONG	1.8145	0	0.098065	0.80006	0	5.1493	0	14.288	0	1.2597	11.659	0	40.375	0
FOPNL	32.492	15.073	37.757	47.005	37.382	9.5994	8.1512	80.175	27.24	132.17	170.25	65.027	24.326	17.062
FOS	588.81	5292.3	2663.7	1287.8	7306.8	3114.2	1722.7	1526.1	3913.5	5617.3	2538.1	7694.1	3332.8	2361.2
FOSB	57.443	266.14	97.826	53.823	114.16	118.06	48.039	144.75	249.41	202.31	129.29	140.03	144.4	88.919
FOSL1	1.4939	19.89	0	0.43821	3.4427	16.645	0	8.6851	37.581	0	5.9233	11.418	65.158	0
FOSL2	1.9892	16.391	36.782	13.835	26.445	15.31	47.431	9.0725	32.811	96.761	64.732	41.098	39.398	99.838
FOXA1	0	0	0.1574	0	0	0	0	0	0	2.0218	0	0	0	0
FOXA2	0	0	0	0.019465	0	0	0	0	0	0	0.35409	0	0	0
FOXA3	0	0	0	0.044616	0	0	0	0	0	0	1.08	0	0	0
FOXB1	0	0	4.5154	0.035119	0	0	0	0	0	42.234	0.76599	0	0	0
FOXB2	0	0.10125	0	0.070056	0	0	0	0	0.28639	0	1.6959	0	0	0
FOXC1	0.50398	0	0	0.0041127	0.29	0	0	3.9684	0	0	0.099558	0.96182	0	0
FOXC2	0	0	0	0.066042	0	0	0	0	0	0	1.23	0	0	0
FOXD1	0	0.27624	0	0.26077	0	0	0	0	0.78133	0	4.5433	0	0	0
FOXD2	0.062416	0	0.20382	0.95661	0	0.32646	0	0.49146	0	1.7565	9.7027	0	2.5189	0
FOXD2-AS1	0	0	3.7889	4.6138	0	1.0815	1.8929	0	0	31.57	25.487	0	9.793	10.539
FOXD3	0	0	0	0.049476	0	0	0	0	0	0	1.0048	0	0	0
FOXD4	0	10.804	0.054788	1.3955	0	0	0	0	30.559	0.70376	20.855	0	0	0
FOXD4L1	0	2.3127	0	0.33161	0	0	0	0	6.5412	0	5.8575	0	0	0
FOXD4L2	0.20676	0	0.84667	1.8529	0	0.13256	0	1.6281	0	5.0815	12.734	0	1.1041	0
FOXD4L3	0	0	0	0.86526	0	0	0	0	0	0	14.762	0	0	0
FOXD4L4	0.20676	0	0.84667	1.8529	0	0.13256	0	1.6281	0	5.0815	12.734	0	1.1041	0
FOXD4L5	0.10338	0	1.6019	0.86072	0	0.20133	0	0.81403	0	9.1602	5.9922	0	1.2656	0
FOXD4L6	0	3.08	0	0.0059866	0	0	0	0	8.7115	0	0.11274	0	0	0
FOXE1	0	0	0.25533	0.13068	0	0	0	0	0	2.7005	1.5674	0	0	0
FOXE3	0	0	0	0.17072	0	0	0	0	0	0	4.0764	0	0	0
FOXF1	0	0	0	0.0069963	0	0	0	0	0	0	0.16936	0	0	0
FOXF2	0	7.6751	0	0.1373	0	0	0	0	15.187	0	1.4293	0	0	0
FOXG1	0	0	0	0.40707	0	0.0062196	0	0	0	0	5.3417	0	0.056321	0
FOXH1	0	0	0.62207	0.63849	0	0.33951	0	0	0	6.8991	4.6553	0	2.2549	0
FOXI1	0	0	2.306	0	0	0	0	0	0	29.621	0	0	0	0
FOXI2	0.018062	0	0.4083	0.22606	0	0.0090246	0	0.14222	0	3.1669	2.3634	0	0.065465	0
FOXI3	0	0	0	0.13515	0	0	0	0	0	0	3.2716	0	0	0
FOXJ1	0.59038	0	0	0.013828	0	0	0	4.6487	0	0	0.21746	0	0	0
FOXJ2	9.5138	5.5949	4.7407	9.4758	17.218	6.8644	1.5584	39.65	15.825	22.767	40.188	47.909	24.697	8.1938
FOXJ3	34.979	10.836	44.454	35.211	37.536	11.972	31.325	109.8	19.276	99.629	91.267	43.814	28.817	84.99
FOXK1	12.579	17.1	21.8	25.836	22.571	7.5216	16.93	18.654	21.873	33.766	37.672	25.269	13.127	32.462
FOXK2	6.4704	12.515	9.7264	9.3959	11.737	6.3683	21.339	28.869	26.3	41.994	46.322	37.511	15.946	59.096
FOXL1	0	0	0	0.12543	0	0	0	0	0	0	2.6812	0	0	0
FOXL2	0	0	0	0.10154	0	0	0	0	0	0	1.5901	0	0	0
FOXM1	1.188	2.7263	1.2651	1.9204	0	1.5051	0.37646	4.1951	7.7112	7.3911	13.257	0	11.696	1.4636
FOXN1	0	0	0.33041	0	0	0	0	0	0	4.2442	0	0	0	0
FOXN2	27.237	5.1164	18.518	41.07	16.267	22.168	19.137	74.293	9.5515	58.488	101.3	28.507	46.882	47.313
FOXN3	29.783	11.981	21.061	17.727	7.9366	12.874	29.547	77.644	15.94	49.436	50.922	11.071	27.41	53.668
FOXN3-AS1	0.20097	0	0.049879	0.35277	0	0.064023	0	1.5824	0	0.64071	8.5396	0	0.57975	0
FOXN3-AS2	0.43562	0	0.42389	3.2999	0	0	0	3.4301	0	4.5875	52.471	0	0	0
FOXN4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXO1	34.835	0.44374	52.69	29.445	73.359	4.9038	22.564	84.698	0.83041	124.34	87.4	113.82	19.65	79.75
FOXO3	12.978	10.156	10.039	8.6147	7.2732	18.291	20.129	43.044	12.555	36.218	32.835	17.553	36.26	63.135
FOXO3B	0.71126	5.2974	0.96647	2.1836	1.0082	0.11207	1.6362	2.3608	12.863	3.568	14.977	3.344	0.55996	7.0218
FOXO4	0.40611	0	1.5882	0.55876	0	0.65194	1.6194	2.3992	0	14.857	4.064	0	2.5015	5.6164
FOXP1	198.85	83.814	128.5	58.355	113.78	21.285	102.19	267.87	65.226	190.17	124.48	111.87	33.188	163.4
FOXP2	0.041933	7.3725	0.66353	0.25623	0	0	0.94227	0.33018	10.737	5.2652	2.2988	0	0	5.2463
FOXP3	0	0	38.393	0.63541	0	0	0	0	0	111.44	11.289	0	0	0
FOXP4	2.794	0.945	2.5553	3.9685	0.16637	1.2655	3.1978	8.6855	2.5616	9.2455	8.8381	0.55177	3.333	8.0296
FOXQ1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXR1	0	0	0	0.031229	0	0	0	0	0	0	0.75597	0	0	0
FOXR2	0	0	0	0.70555	0	0	0	0	0	0	17.08	0	0	0
FOXRED1	30.763	16.173	4.0782	11.333	19.106	15.154	50.087	80.957	31.444	28.286	70.972	63.367	50.42	225.59
FOXRED2	6.4091	1.58	8.9016	11.404	3.8755	15.392	6.1482	7.7907	1.9947	16.86	36.339	5.2842	33.521	6.1668
FOXS1	0	37.626	0.069396	0.01669	0	0	0	0	106.42	0.89141	0.40403	0	0	0
FP588	0.46546	0.035	0.23036	0.45822	0.52728	0.13268	0.13097	1.3811	0.098994	0.88741	2.6147	1.7488	0.42898	0.52403
FPGS	56.484	84.385	51.514	75.476	53.859	47.762	53.183	202.83	173.16	148.1	178.8	70.738	129.15	118.7
FPGT	5.0159	5.0923	7.0273	6.73	10.291	8.0576	0	36.818	14.403	46.515	48.088	23.561	27.832	0
FPGT-TNNI3K	6.2505	1.3162	0	1.3785	0	1.4224	0	47.326	3.7229	0	20.191	0	9.3119	0
FPR1	0	0	2.9419	1.8239	0	331.49	0.075163	0	0	20.867	28.897	0	627.54	0.41849
FPR2	0	0	0.11509	0.50562	0	103.74	0.061614	0	0	1.4784	9.1719	0	384.05	0.34305
FPR3	0.0679	0	0.20783	0.12748	0	144.87	0	0.43289	0	2.2969	1.1538	0	188.82	0
FRA10AC1	20.759	6.8012	16.617	16.837	10.973	12.032	7.4341	61.061	15.523	55.951	53.555	21.149	50.288	21.218
FRAS1	0.080641	4.2726	0.23333	0.069992	0	0.0069508	1.544	0.5071	8.0669	1.5233	0.6943	0	0.062942	8.5964
FRAT1	0.70144	0	1.6	1.7827	1.6736	1.7554	0.4442	5.5231	0	20.552	20.44	5.5508	9.8695	1.8759
FRAT2	2.1005	6.1152	3.5444	0.5192	2.5527	4.8126	0	16.539	17.297	40.208	8.6659	8.4662	30.093	0
FREM1	0.016935	2.1537	0.06842	0.051417	0	0.074146	0	0.13335	4.5778	0.82731	0.62458	0	0.57848	0
FREM2	0.24418	0.01375	0.59982	0.5134	0.012727	0.076828	0.19227	0.62714	0.038891	3.487	3.155	0.042212	0.24476	0.55885
FREM3	0	0	0.07958	0.48549	0	0	0	0	0	1.0222	8.4776	0	0	0
FRG1	67.725	54.228	45.967	53.234	47.605	65.714	118.3	243.87	90.439	118.57	172.66	120.61	137.42	255.73
FRG1B	32.48	4.3162	50.835	55.091	67.73	14.486	58.717	92.917	7.6072	113.98	130.34	152.8	44.085	243.89
FRG2	0.14112	0.071249	0.3197	0.39955	0.29729	0.38646	0.46162	0.63426	0.20152	1.8461	1.8033	0.98598	1.5727	1.0543
FRG2B	0	0	0	0.11497	0	0	0	0	0	0	1.7983	0	0	0
FRG2C	1.0956	0.36625	1.1586	1.5924	2.4337	0.4261	1.0294	4.7106	1.0359	4.253	7.6887	4.8163	1.96	2.5787
FRK	0	0	0.24225	0.34498	0	0.54974	0	0	0	3.1118	6.7867	0	4.9781	0
FRMD1	0	0	0	0.012736	0	0.018292	0	0	0	0	0.3083	0	0.16564	0
FRMD3	0.009677	0	1.1611	1.128	6.2472	5.6721	0	0.076197	0	11.945	14.639	13.565	18.204	0
FRMD4A	2.5385	1.8663	3.193	1.3274	8.839	4.7137	0	19.334	5.2786	16.522	11.681	14.418	13.062	0
FRMD4B	0	0	38.493	6.7603	26.505	28.146	8.1884	0	0	121.22	43.615	52.091	66.76	33.753
FRMD5	0	0	0.49102	1.1196	0	0	0.086452	0	0	6.1564	18.352	0	0	0.48134
FRMD6	0	130.74	0.10594	3.8021	6.56	3.926	0	0	144.08	1.3184	37.813	16.963	22.143	0
FRMD6-AS1	17.338	0.45	37.809	27.549	4.6047	9.3116	41.019	37.682	1.2487	109.62	52.506	9.2005	21.854	57.864
FRMD6-AS2	0	0	0	1.6898	0	0.10841	0	0	0	0	27.848	0	0.9817	0
FRMD7	0	0	0.11616	0.020105	0	0	0	0	0	1.4258	0.31655	0	0	0
FRMD8	16.553	26.144	40.047	45.611	34.375	18.816	10.426	56.861	50.737	133.24	147.35	52.339	60.421	38.075
FRMD8P1	0	0	0.30479	0.033396	0	0.032683	0	0	0	3.7126	0.42301	0	0.26067	0
FRMPD1	0	0	0	0.58612	0	0.27133	0	0	0	0	13.341	0	2.4072	0
FRMPD2	0.019838	0	0.28218	0.078168	0	0	0	0.1562	0	1.9508	0.77974	0	0	0
FRMPD2P1	0	0	0.13867	0.46496	0	0.12171	0	0	0	1.7812	6.4462	0	1.1022	0
FRMPD4	0	0	0	0.091679	0	0.014756	0	0	0	0	1.3578	0	0.13362	0
FRRS1	7.1722	0.56373	8.087	11.568	3.5283	4.6046	5.095	7.8165	1.0629	13.99	15.533	8.1812	13.886	5.9093
FRRS1L	0	2.4387	0	0.14647	0	0	0	0	6.8978	0	2.2191	0	0	0
FRS2	0.056932	2.6762	0.8626	7.5905	8.3448	0.80986	1.6397	0.44828	7.0286	4.5878	38.941	15.07	3.7493	5.9716
FRS3	13.9	0	2.0722	0.36195	0	0.95156	0.14613	80.993	0	19.15	5.6347	0	8.5543	0.81363
FRY	1.6611	1.1563	2.2704	0.12426	14.619	1.5005	7.0807	9.0655	2.6862	11.053	1.2697	30.593	13.562	39.424
FRYL	17.804	13.825	10.669	21.265	21.724	6.1226	16.264	43.654	18.586	28.503	52.876	21.334	15.203	38.245
FRZB	0	0	3.2505	0.098376	0	0	0	0	0	35.385	1.5767	0	0	0
FSBP	0.29417	0	3.1147	0.01971	0	0.43561	0	2.3163	0	37.898	0.39544	0	3.9446	0
FSCB	0	0	0	1.4205	0	0	0	0	0	0	30.894	0	0	0
FSCN1	0.32628	44.532	0.74069	1.1254	104.66	6.9068	0.37356	2.5691	40.068	5.2141	10.194	131.99	18.873	2.0799
FSCN2	0	0	0.054242	0.32156	0	0	0	0	0	0.69675	5.1386	0	0	0
FSCN3	0	0	0	0.090582	0	0	0	0	0	0	1.1264	0	0	0
FSD1	0	0	0	5.0001	0	0	10.404	0	0	0	47.306	0	0	53.181
FSD1L	8.1704	11.328	1.8477	1.0112	0	6.6407	20.902	59.269	25.835	13.644	11.54	0	46.467	116.38
FSD2	0	0	0.10564	0.20224	0	0.23902	0	0	0	1.357	2.3634	0	2.1644	0
FSHB	0	0	0	0.46322	0	0	0	0	0	0	6.946	0	0	0
FSHR	0	0	0.55267	0.13989	0	0	0	0	0	7.0992	2.4888	0	0	0
FSIP1	0	0.97624	1.4318	0.97461	0	2.2314	0	0	2.7612	15.976	23.057	0	20.206	0
FSIP2	1.1819	0.10499	0.08497	0.18832	0	0.012194	0	9.3064	0.29697	0.67756	1.4613	0	0.11042	0
FST	0.034837	8.9836	0.24588	0.062359	0	0	0	0.27431	18.93	3.1584	1.4199	0	0	0
FSTL1	0.049513	1506.8	1.1844	2.588	127.61	0.031708	0.73778	0.28171	1415.8	15.066	41.29	188.45	0.18264	4.1078
FSTL3	7.0413	14.596	5.7926	0.92511	29.21	0.59206	0.54289	43.153	36.752	73.099	11.092	96.878	4.321	3.0227
FSTL4	0	0	0	0.50868	0	0.097683	0.031936	0	0	0	11.392	0	0.74601	0.17781
FSTL5	0	0	0.082425	0.2248	0	0.03244	0	0	0	0.59073	3.0789	0	0.29376	0
FTCD	0	0	0.048	0.0089077	0	0	0	0	0	0.61657	0.21563	0	0	0
FTH1	1380.8	3015.6	1913.6	1453.8	1072.5	11780	1688.1	938.44	1820.4	1444.5	1522.4	713.94	10170	1089.8
FTH1P18	0.89312	0	0	0.21735	0	0	0	7.0325	0	0	3.7421	0	0	0
FTH1P3	1.2116	2.1225	5.2184	7.2239	1.3672	13.884	2.3627	3.9157	3.2144	20.373	42.641	4.5345	16.814	6.2893
FTHL17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FTL	3098.3	4863	1706.6	1883.4	1253.7	35229	1678	2285.8	1980.1	1515.1	1695.2	1005.4	26138	1579.3
FTLP10	2.7684	6.6764	3.2432	3.2682	3.6372	0.72915	2.9859	10.031	12.478	7.1596	5.8412	8.5896	1.7557	7.0447
FTMT	0.16209	0	0	0.30429	0	0	0	1.2763	0	0	5.1505	0	0	0
FTO	23.103	84.822	14.787	30.08	36.727	18.131	51.45	70.03	83.446	38.843	87.725	73.307	57.449	194.52
FTSJ1	62.285	60.375	35.201	47.393	46.683	36.649	85.366	204.57	121.37	132.93	164.53	86.6	95.989	228.35
FTSJ2	55.72	13.76	25.4	35.673	1.9474	22.594	40.065	170.74	25.967	109.51	146.95	6.4587	63.989	166.16
FTSJ3	32.395	12.255	49.747	32.455	39.654	22.885	99.505	108.81	18.024	153.08	112.75	60.122	62.397	213.39
FTSJD1	19.189	8.085	18.402	31.3	7.4531	5.0654	7.0882	76.005	16.248	101.72	137.42	18.073	33.773	27.776
FTSJD2	23.927	5.8739	13.559	22.012	14.3	11.376	33.027	86.538	9.3919	50.681	68.187	30.621	36.013	106.07
FTX	4.2374	0.1675	8.385	10.398	7.1046	3.1689	3.7183	12.503	0.47376	34.956	33.985	14.519	8.4514	15.468
FUBP1	91.943	12.413	105	119.59	88.216	30.053	66.919	178.84	19.09	236.26	226.12	149.64	70.884	151.33
FUBP3	10.177	0.29625	4.694	10.098	4.901	6.5753	1.7291	44.903	0.83793	30.623	63.063	12.934	25.45	7.0533
FUCA1	12.863	19.451	23.448	28.166	113.93	201.28	16.622	58.354	36.189	126.86	148.2	169.65	417.24	91.275
FUCA2	24.225	50.157	35.179	25.755	33.472	81.543	73.746	82.687	74.336	134.42	105.14	55.428	111.65	297.83
FUK	4.1784	1.3349	9.3887	9.0919	26.015	3.1847	0	21.889	3.7757	56.79	49.808	86.281	12.734	0
FUNDC1	25.461	25.633	21.15	10.711	1.6981	19.473	0	94.233	39.306	144.5	75.077	5.632	90.679	0
FUNDC2	27.464	42.834	48.431	34.776	85.419	17.559	24.315	90.345	65.358	99.571	91.975	109.9	39.25	70.131
FUNDC2P2	0.11322	0	0.3403	0.035128	0	0.05866	0	0.89147	0	2.911	0.35673	0	0.53119	0
FUOM	7.9352	10.355	16.853	41.388	14.51	86.649	2.504	50.6	29.287	102.57	199.33	48.123	178.39	13.942
FURIN	2.5891	5.5348	8.4909	4.3699	20.414	31.837	23.329	15.825	15.655	45.711	30.932	50.067	107.81	69.826
FUS	84.259	90.578	102.35	100.86	97.958	56.62	123.73	96.006	73.138	123.85	110.99	103.34	52.499	148.3
FUT1	15.584	6.3763	16.233	17.959	26.105	6.8757	18.537	18.291	9.8197	19.816	18.714	38.113	7.6821	15.094
FUT10	2.898	8.4199	4.6771	11.159	25.446	3.3686	22.609	21.406	22.511	36.667	74.23	45.423	22.6	120.19
FUT11	9.9857	11.046	9.5225	28.307	24.31	7.4386	195.31	55.676	25.808	44.521	130.87	70.308	25.785	441.7
FUT2	14.28	22.311	21.579	20.987	14.481	7.1039	17.559	14.803	29.798	28.849	31.289	18.783	8.6774	13.936
FUT3	0.31353	0	0.5523	0.29388	0	0.099024	1.3587	1.8387	0	2.9773	1.7357	0	0.34659	6.8266
FUT4	1.0122	1.1237	2.6846	3.5045	0.89002	3.1161	1.1355	2.9935	3.0162	17.64	25.949	1.6343	13.455	1.9987
FUT5	0.1237	0	0	0.12702	0	0	0	0.974	0	0	2.1788	0	0	0
FUT6	10.074	8.4889	10.222	13.086	3.4227	3.8792	14.146	13.085	13.23	14.683	16.29	4.3942	5.0162	24.323
FUT7	11.553	0	7.6395	1.6209	0	0.1067	15.752	90.482	0	73.003	32.855	0	0.96625	69.826
FUT8	53.659	18.209	25.409	50.39	21.472	2.7136	30.614	149.07	32.815	107.51	118.95	40.136	14.093	118.15
FUT8-AS1	2.0941	0.16625	8.1676	11.729	4.2083	0.055852	3.4578	15.594	0.47023	56.56	94.211	13.957	0.50576	19.252
FUT9	0.73949	0	0.61158	0.81972	1.0291	0.27109	0.39646	3.6101	0	1.4649	3.3028	1.8628	0.50408	0.74771
FUZ	0.42758	39.416	1.0641	6.9965	0	9.2061	16.265	3.2751	66.582	13.577	59.493	0	25.481	79.03
FXN	26.084	10.811	33.682	31.13	21.231	7.6207	26.249	55.992	20.417	85.969	59.298	26.612	10.522	39.535
FXR1	19.944	6.2574	19.41	16.555	12.547	7.8855	12.533	40.696	7.826	53.117	44.346	16.018	18.412	46.699
FXR2	3.5839	13.933	1.3899	4.2112	9.3674	2.8842	0	18.856	28.497	11.812	26.998	31.068	12.82	0
FXYD1	0	14.549	0.92351	0.38151	0	0.47145	0.56647	0	23.877	5.9073	4.1732	0	2.6587	3.154
FXYD2	0.24902	0	5.5826	3.8888	0	5.137	0	1.9608	0	47.894	50.831	0	32.728	0
FXYD3	0	0	4.3164	1.8178	0	6.0324	0	0	0	39.491	23.122	0	29.419	0
FXYD4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FXYD5	355.73	130.27	874.64	453.94	619.43	721.26	855.09	475.01	147.48	874.31	493.94	741.27	516.92	859.75
FXYD6	0	35.393	0.95161	2.3039	14.427	10.259	0.85649	0	92.149	12.224	34.05	47.848	34.149	4.7687
FXYD6-FXYD2	0	0	0	0.005529	0	0	0	0	0	0	0.13384	0	0	0
FXYD7	12.995	0	6.5249	3.019	0	0	7.6995	62.246	0	37.05	23.488	0	0	42.869
FYB	0.1987	0	300.29	255.42	0	156.01	143.77	0.7961	0	324.86	267.02	0	146.21	195.7
FYCO1	4.2954	4.2237	27.154	20.931	22.73	7.3279	12.583	33.375	11.946	74.016	63.701	41.705	31.903	46.049
FYN	1.3772	34.204	120.77	262.4	12.799	1.2495	130.69	9.8361	37.372	222.09	345.42	28.381	6.4483	192.09
FYTTD1	29.452	72.186	35.644	66.118	24.436	42.762	37.072	93.121	81.116	96.318	170.39	49.199	82.719	87.233
FZD1	0	57.467	0	0.27389	0	9.8889	0	0	125.28	0	3.3246	0	31.827	0
FZD10	0	4.976	0	0.0083621	0	0	0	0	14.074	0	0.20243	0	0	0
FZD2	3.4792	1.19	7.4672	5.6632	1.3955	2.8874	10.86	4.4038	2.5361	20.409	8.5749	2.7446	9.2541	44.333
FZD3	4.0719	0.19375	5.1693	5.4924	2.7682	3.1078	3.0849	7.3045	0.40416	9.324	12.872	3.649	8.1003	3.0594
FZD4	1.193	13.416	2.3926	2.524	78.638	0.89231	2.6401	2.0401	21.844	8.2484	3.9575	120.25	1.2742	3.4724
FZD5	0.34192	0.21875	0.32109	0.24192	4.1837	0.96865	2.251	1.5657	0.61872	4.1245	3.3074	8.3127	3.9719	12.533
FZD6	1.1717	8.4527	2.4185	24.509	58.531	2.2024	0.31872	9.2259	20.309	14.484	97.233	72.565	14.063	1.7746
FZD7	0.70658	5.6049	1.3581	0.21001	0	0.067438	0	5.5636	12.763	17.373	3.2952	0	0.44829	0
FZD8	0	0	0	0.0015529	0	0	0	0	0	0	0.037592	0	0	0
FZD9	0	0	0	0.77714	0	0	0	0	0	0	12.218	0	0	0
FZR1	3.6653	0	21.812	11.879	31.232	1.6357	18.287	19.055	0	109.45	58.381	97.837	9.0543	62.833
G0S2	0	25.587	24.174	5.8915	0	897.99	1.1545	0	45.466	170.54	140.51	0	3500.7	5.7372
G2E3	7.5916	0	14.62	11.807	5.7944	1.7488	15.082	31.76	0	55.369	61.852	11.442	7.0934	47.891
G3BP1	115.62	77.438	108.1	155.18	85.357	50.411	113.3	246.7	86.839	215.98	327.25	92.874	74.436	247.32
G3BP2	39.531	14.184	81.561	71.697	19.59	26.278	83.534	125.31	17.393	158.92	183.92	31.009	50.784	150.3
G6PC	2.0289	1.3413	3.4886	2.7985	1.0655	1.7274	3.1256	3.278	3.5883	10.512	5.1979	2.3884	2.2755	4.4705
G6PC2	0.65755	0.24875	2.6903	0.55319	0.37273	0.18561	0.58066	2.1377	0.70357	21.919	3.3332	1.2362	0.71664	1.5144
G6PC3	60.527	101.05	18.174	11.482	65.722	43.746	7.4217	254.8	103.78	94.123	61.476	91.282	118.05	39.097
G6PD	19.636	11.656	10.577	32.363	0	25.269	130.88	66.381	20.341	51.699	95.368	0	45.508	198.21
GAA	40.351	31.991	12.743	12.789	60.805	203.33	15.781	151.01	66.033	84.706	72.502	69.402	266.71	85.95
GAB1	2.3324	4.2524	0.13751	0.44253	2.9846	1.0301	3.494	9.0823	6.4929	0.96195	7.0214	7.3008	5.0461	19.454
GAB2	5.7717	1.5924	5.1192	3.3826	8.7956	11.382	0	24.62	3.7984	44.555	27.36	19.679	22.126	0
GAB3	0.77929	4.47	7.9425	35.177	21.505	27.941	28.806	6.1361	12.643	45.435	123.49	65.203	53.051	90.54
GAB4	0	0	0	0.12105	0	0	0	0	0	0	2.9304	0	0	0
GABARAP	490.56	658.63	297.35	387.18	374.11	1041.4	482.84	477.14	408.31	408.95	488.38	543.35	719.98	615.78
GABARAPL1	0	37.923	42.235	86.058	134.71	35.283	86.925	0	49.281	137.6	194.69	142.85	76.635	181.05
GABARAPL2	138.18	268.33	166.99	201.05	299.47	156.77	221.42	317.34	327.21	321.5	365.87	306.31	235.86	400.6
GABARAPL3	0	0	0.018485	0.085731	0	0.021097	0	0	0	0.23744	1.4809	0	0.19104	0
GABBR1	8.6485	0.91752	4.5436	0.48264	4.1264	5.8152	0	32.233	2.377	27.794	5.4248	13.686	25.199	0
GABBR2	0	0	0.0048485	0.068361	0	0	0	0	0	0.06228	0.92123	0	0	0
GABPA	19.223	8.1253	13.827	20.202	12.454	9.6034	11.075	67.651	15.144	59.261	75.097	18.924	33.115	52.652
GABPB1	23.892	86.108	53.244	64.748	19.376	15.112	81.401	92.448	212.87	203.96	201.08	58.342	50.01	340.76
GABPB1-AS1	43.334	2.5375	21.643	32.999	38.745	10.323	53.061	106.05	6.1941	58.715	92.673	105.94	32.763	114.33
GABPB2	0	5.815	14.814	8.2033	0	1.5481	39.204	0	15.427	78.986	49.633	0	10.565	197.5
GABRA1	0.35012	0	0.02994	0.0095389	0	0	0	2.0041	0	0.38459	0.23091	0	0	0
